article,keywords,volume,issue,year
1,long-term equating,63,6,2003
1,scale maintenance,63,6,2003
1,mixed format tests,63,6,2003
1,rating standard changes,63,6,2003
2,correlation,63,6,2003
2,reliability,63,6,2003
2,attenuation,63,6,2003
2,confirmatory factor analysis,63,6,2003
2,alpha,63,6,2003
3,tetrachoric correlation,63,6,2003
3,dichotomization of continuous scores,63,6,2003
4,hierarchical linear model,63,6,2003
4,multilevel model,63,6,2003
4,multicollinearity,63,6,2003
5,organizational attractiveness,63,6,2003
5,organizational attraction measures,63,6,2003
5,recruitment,63,6,2003
6,school climate,63,6,2003
6,unit of theory,63,6,2003
6,school assessment,63,6,2003
7,statistics achievement,63,6,2003
7,statistics anxiety,63,6,2003
7,achievement expectation,63,6,2003
7,graduate students,63,6,2003
7,path analysis,63,6,2003
8,spelling ability,63,6,2003
8,item response theory,63,6,2003
8,vertical equating,63,6,2003
8,spelling test,63,6,2003
9,school attitude,63,6,2003
9,school adjustment,63,6,2003
9,academic achievement,63,6,2003
9,Hong Kong pupils,63,6,2003
1,multistage tests,64,1,2004
1,computer-based tests,64,1,2004
1,test designs,64,1,2004
1,credentialing exams,64,1,2004
2,performance assessments,64,1,2004
2,multivariate generalizability,64,1,2004
2,mixed models,64,1,2004
2,measurement error correlations,64,1,2004
2,case specificity,64,1,2004
3,feedback,64,1,2004
3,multisource feedback,64,1,2004
3,upward feedback,64,1,2004
3,performance appraisal,64,1,2004
4,interrater reliability,64,1,2004
4,multivariate analysis,64,1,2004
4,rating,64,1,2004
4,measurement,64,1,2004
5,short forms,64,1,2004
5,WAIS-III,64,1,2004
5,validity,64,1,2004
5,reliability,64,1,2004
5,IQ estimates,64,1,2004
6,institutional integration,64,1,2004
6,assessment,64,1,2004
6,college students,64,1,2004
7,loneliness,64,1,2004
7,reliability,64,1,2004
7,validity,64,1,2004
7,scale,64,1,2004
7,SELSA,64,1,2004
8,tenacious goal pursuit,64,1,2004
8,flexible goal adjustment,64,1,2004
8,assimilative tenacity,64,1,2004
8,accommodative flexibility,64,1,2004
8,confirmatory factor analysis,64,1,2004
9,father involvement,64,1,2004
9,nurturant fathering,64,1,2004
9,fathers,64,1,2004
9,measures,64,1,2004
9,scales,64,1,2004
9,reliability,64,1,2004
9,factor analysis,64,1,2004
10,feedback,64,1,2004
10,feedback environment,64,1,2004
10,construct validation,64,1,2004
11,Africultural,64,1,2004
11,coping,64,1,2004
11,African American,64,1,2004
11,stress,64,1,2004
11,culture,64,1,2004
1,effect size,64,2,2004
1,classical test theory,64,2,2004
1,item response theory,64,2,2004
1,Rasch model,64,2,2004
1,rating scale model,64,2,2004
1,measurement error,64,2,2004
1,attenuation,64,2,2004
2,repeated measurements,64,2,2004
2,mixed-model analyses,64,2,2004
2,Welch-James adjusted-df test,64,2,2004
2,Kenward-Roger’s adjusted-df test,64,2,2004
2,small sample settings,64,2,2004
3,weighted kappa,64,2,2004
3,intraclass correlation,64,2,2004
3,rater agreement,64,2,2004
3,association coefficients,64,2,2004
4,reliability generalization,64,2,2004
4,reliability induction,64,2,2004
4,alcohol screening,64,2,2004
4,CAGE questionnaire,64,2,2004
5,negative affectivity,64,2,2004
5,job stressors,64,2,2004
5,strains,64,2,2004
5,job attitudes,64,2,2004
5,stress,64,2,2004
6,goal orientations,64,2,2004
6,cognitive strategies,64,2,2004
6,metacognitive strategies,64,2,2004
6,confirmatory factor analysis,64,2,2004
7,computer anxiety,64,2,2004
7,computer technology,64,2,2004
7,confirmatory factor analysis,64,2,2004
7,cross-cultural comparison,64,2,2004
8,constructivist,64,2,2004
8,traditional,64,2,2004
8,teacher beliefs,64,2,2004
8,construct validity,64,2,2004
8,confirmatory factor analysis,64,2,2004
9,learning strategies,64,2,2004
9,study strategies,64,2,2004
9,invariance models,64,2,2004
10,critical thinking,64,2,2004
10,adolescents,64,2,2004
10,high school,64,2,2004
10,dispositions,64,2,2004
11,motivation,64,2,2004
11,achievement goal orientation,64,2,2004
11,factorial validity,64,2,2004
2,coefficient alpha,64,3,2004
2,reliability,64,3,2004
2,internal consistency,64,3,2004
2,generalizability theory,64,3,2004
2,variance components,64,3,2004
3,missing data,64,3,2004
3,reliability,64,3,2004
3,EM algorithm,64,3,2004
3,maximum likelihood,64,3,2004
3,reliability generalization,64,3,2004
4,emotional intelligence,64,3,2004
4,measurement,64,3,2004
4,dimensions,64,3,2004
4,factor analysis,64,3,2004
5,WAIS-III,64,3,2004
5,factor structure,64,3,2004
5,intelligence,64,3,2004
5,cross-cultural validity,64,3,2004
6,cross-informant ratings,64,3,2004
6,conflict,64,3,2004
6,behavior problems,64,3,2004
6,competence,64,3,2004
7,help seeking,64,3,2004
7,motivation,64,3,2004
7,self-efficacy,64,3,2004
7,achievement goals,64,3,2004
7,computer science,64,3,2004
8,positive affect,64,3,2004
8,negative affect,64,3,2004
8,COPAS,64,3,2004
8,intraindividual variability,64,3,2004
8,statetrait theory,64,3,2004
9,personality assessment,64,3,2004
9,cognitive dispositions,64,3,2004
9,cross-cultural validity,64,3,2004
9,Chinese college students,64,3,2004
9,second-order factor analysis,64,3,2004
10,differential item functioning,64,3,2004
10,literacy assessment,64,3,2004
10,gender bias,64,3,2004
10,language bias,64,3,2004
1,item analysis,64,4,2004
1,multiple-choice tests,64,4,2004
1,polytomous item response theory,64,4,2004
1,parametric and nonparametric models,64,4,2004
2,IRT,64,4,2004
2,parameter invariance,64,4,2004
2,correlation coefficients,64,4,2004
3,vertical scaling,64,4,2004
3,large-scale assessment,64,4,2004
3,Rasch model,64,4,2004
3,IRT software,64,4,2004
4,Rasch,64,4,2004
4,facets,64,4,2004
4,generalizability theory,64,4,2004
4,performance assessment,64,4,2004
5,adverse impact,64,4,2004
5,multistage selection,64,4,2004
5,sampling distribution,64,4,2004
5,computer program,64,4,2004
6,nonverbal intelligence,64,4,2004
6,deaf,64,4,2004
6,invariance,64,4,2004
6,validity,64,4,2004
6,multisample confirmatory factor analysis,64,4,2004
7,Adult Manifest Anxiety Scale,64,4,2004
7,factor analysis,64,4,2004
7,validity,64,4,2004
7,reliability,64,4,2004
8,confirmatory factor analysis,64,4,2004
8,structural equation modeling,64,4,2004
8,social support,64,4,2004
8,subjective norm,64,4,2004
9,conflict,64,4,2004
9,behavior,64,4,2004
9,style,64,4,2004
9,measurement,64,4,2004
1,chi-square difference,64,5,2004
1,nested models,64,5,2004
1,model misspecification,64,5,2004
1,parameter bias,64,5,2004
1,mean comparison,64,5,2004
1,growth curves,64,5,2004
2,Rasch model,64,5,2004
2,multidimensional item response model,64,5,2004
2,modifiability,64,5,2004
2,change measurement,64,5,2004
2,item response theory,64,5,2004
3,standard setting,64,5,2004
3,Angoff method,64,5,2004
3,Nedelsky method,64,5,2004
3,intrajudge inconsistency,64,5,2004
3,judgmental item analysis,64,5,2004
3,multiple-choice test,64,5,2004
3,polytomous response models,64,5,2004
4,validity,64,5,2004
4,reporting validity,64,5,2004
5,screening,64,5,2004
5,test bias,64,5,2004
5,differential validity,64,5,2004
5,reading,64,5,2004
5,primary grades,64,5,2004
6,creativity,64,5,2004
6,Torrance Tests,64,5,2004
6,assessment,64,5,2004
6,validity,64,5,2004
6,convergent,64,5,2004
7,Rasch measurement,64,5,2004
7,school climate,64,5,2004
7,secondary data analysis,64,5,2004
7,teacher perception,64,5,2004
7,validity,64,5,2004
8,empowerment,64,5,2004
8,employee attitudes,64,5,2004
8,gender,64,5,2004
8,measurement,64,5,2004
8,factor structure,64,5,2004
9,job satisfaction,64,5,2004
9,test validity,64,5,2004
9,test construction,64,5,2004
9,scale reduction,64,5,2004
2,differential item functioning,64,6,2004
2,Mantel-Haenszel statistic,64,6,2004
2,logistic regression analysis,64,6,2004
2,effect size measures,64,6,2004
3,analysis of variance,64,6,2004
3,eta-squared,64,6,2004
3,partial eta-squared,64,6,2004
3,effect size,64,6,2004
4,differential item functioning,64,6,2004
4,Mantel-Haenszel procedure,64,6,2004
4,significance levels,64,6,2004
4,small samples,64,6,2004
4,standardization index,64,6,2004
5,measurement error,64,6,2004
5,bootstrap,64,6,2004
5,Rasch model,64,6,2004
5,item response theory,64,6,2004
5,classical test theory,64,6,2004
6,Likert-type rating scales,64,6,2004
6,number of response categories,64,6,2004
6,anchor labels,64,6,2004
6,test-retest reliability,64,6,2004
6,internal consistency,64,6,2004
6,coefficient alpha,64,6,2004
7,caregivers,64,6,2004
7,Center for Epidemiologic Studies-Depression Scale,64,6,2004
7,CES-D,64,6,2004
7,reliability generalization,64,6,2004
7,scale reliability,64,6,2004
9,language,64,6,2004
9,personality theory,64,6,2004
9,personality structure,64,6,2004
9,test reliability,64,6,2004
9,test validity,64,6,2004
10,perfectionism,64,6,2004
10,factor analysis,64,6,2004
10,parallel analysis,64,6,2004
10,Frost Multidimensional Perfectionism Scale,64,6,2004
11,temperament,64,6,2004
11,personality,64,6,2004
11,confirmatory factor analysis,64,6,2004
11,score validity,64,6,2004
12,attitudes,64,6,2004
12,measure development,64,6,2004
12,single parents,64,6,2004
12,working parents,64,6,2004
13,internalized homonegativity,64,6,2004
13,gay men,64,6,2004
13,homophobia,64,6,2004
13,measurement,64,6,2004
1,test design,65,1,2005
1,item bundle,65,1,2005
1,testlet,65,1,2005
1,multidimensional item response model,65,1,2005
1,Rasch model,65,1,2005
1,item response theory,65,1,2005
2,reliability coefficient,65,1,2005
2,dichotomous score reliability,65,1,2005
2,trichotomous score reliability,65,1,2005
2,parallel-forms reliability,65,1,2005
3,item fit,65,1,2005
3,polytomous IRT,65,1,2005
3,PARSCALE,65,1,2005
3,graded response,65,1,2005
3,partial credit,65,1,2005
4,effect size,65,1,2005
4,standardized effect size,65,1,2005
4,confidence intervals,65,1,2005
4,bootstrap methods,65,1,2005
4,nonnormal data,65,1,2005
5,situational judgment,65,1,2005
5,faking,65,1,2005
5,response distortion,65,1,2005
5,academic success,65,1,2005
5,validity,65,1,2005
6,adolescence,65,1,2005
6,CES-D,65,1,2005
6,depression,65,1,2005
6,factorial validity,65,1,2005
6,measurement invariance,65,1,2005
7,dimensionality,65,1,2005
7,item response theory,65,1,2005
7,Rasch model,65,1,2005
7,Raven’s Progressive Matrices,65,1,2005
7,intelligence,65,1,2005
8,Beck Depression Inventory,65,1,2005
8,depression,65,1,2005
8,Rasch models,65,1,2005
8,rating scale analysis,65,1,2005
9,social desirability bias,65,1,2005
9,factor analysis,65,1,2005
9,score validity,65,1,2005
10,critical thinking,65,1,2005
10,classroom instruction,65,1,2005
10,teachers’ beliefs,65,1,2005
10,disadvantaged learners,65,1,2005
10,advantage effects,65,1,2005
1,standard setting,65,2,2005
1,minimum passing score,65,2,2005
1,Angoff method,65,2,2005
1,subsets of test items,65,2,2005
1,stratified item selection,65,2,2005
2,exploratory factor analysis,65,2,2005
2,factor retention,65,2,2005
2,factor recovery,65,2,2005
2,sample size,65,2,2005
2,communality,65,2,2005
2,overdetermination,65,2,2005
3,reliability analysis,65,2,2005
3,confirmatory factor analysis,65,2,2005
3,multidimensional measures,65,2,2005
3,hierarchical factor models,65,2,2005
4,effect size,65,2,2005
4,confidence intervals,65,2,2005
4,robust procedure,65,2,2005
5,reliability,65,2,2005
5,reliability generalization,65,2,2005
5,childhood anxiety,65,2,2005
5,Revised,65,2,2005
6,teaching effectiveness,65,2,2005
6,factor analysis,65,2,2005
6,multilevel,65,2,2005
6,validity,65,2,2005
7,self-esteem,65,2,2005
7,self-worth,65,2,2005
7,physical appearance,65,2,2005
7,competence,65,2,2005
8,mentoring,65,2,2005
8,measurement equivalence,65,2,2005
8,protégé satisfaction,65,2,2005
8,confirmatory factor analysis,65,2,2005
9,stereotype threat,65,2,2005
9,domain identification,65,2,2005
9,computer technology,65,2,2005
9,gender,65,2,2005
1,reliability,65,3,2005
1,Spearman-Brown prophecy formula,65,3,2005
1,item response theory,65,3,2005
1,classical test theory,65,3,2005
2,Rasch model,65,3,2005
2,rating scale model,65,3,2005
2,joint maximum likelihood estimation,65,3,2005
2,infit,65,3,2005
2,outfit,65,3,2005
3,motivational distortion,65,3,2005
3,personality scale adjustments,65,3,2005
4,heteroscedasticity,65,3,2005
4,wild bootstrap,65,3,2005
4,nonlinearity,65,3,2005
5,reliability generalization,65,3,2005
5,reliability,65,3,2005
5,meta-analysis,65,3,2005
5,goal orientation,65,3,2005
5,Patterns of Adaptive Learning Survey,65,3,2005
6,self-esteem,65,3,2005
6,two level,65,3,2005
6,confirmatory factor analysis,65,3,2005
6,adolescents,65,3,2005
6,within and between classes,65,3,2005
7,academic performance,65,3,2005
7,college outcomes,65,3,2005
7,academic-related skills,65,3,2005
7,noncognitive predictors,65,3,2005
7,psychosocial factors,65,3,2005
7,retention,65,3,2005
8,statistics,65,3,2005
8,attitude survey,65,3,2005
8,construct validity,65,3,2005
8,psychometric evaluation,65,3,2005
9,helping and coping attributions,65,3,2005
9,causal attributions,65,3,2005
9,solution attributions,65,3,2005
9,attribution assessment,65,3,2005
1,item response theory,65,4,2005
1,testlet response theory,65,4,2005
1,anchor item,65,4,2005
1,Rasch model,65,4,2005
1,parameter recovery,65,4,2005
1,Wald statistic,65,4,2005
2,computer-based writing assessment,65,4,2005
2,essay prompts,65,4,2005
2,comparability,65,4,2005
2,fairness,65,4,2005
2,response mode,65,4,2005
2,logistic regression,65,4,2005
2,proportional odds ratio model,65,4,2005
3,missing data,65,4,2005
3,ARIMA models,65,4,2005
3,time-series analysis,65,4,2005
3,autocorrelation,65,4,2005
4,significance test,65,4,2005
4,Student’s t test,65,4,2005
4,raw scores,65,4,2005
4,ranks,65,4,2005
4,rank transformation,65,4,2005
4,normalizing transformation,65,4,2005
4,percentiles,65,4,2005
4,deciles,65,4,2005
4,quantiles,65,4,2005
4,Type I error,65,4,2005
4,Type II error,65,4,2005
4,power,65,4,2005
4,Wilcoxon-Mann-Whitney test,65,4,2005
5,reliability generalization,65,4,2005
5,psychopathy,65,4,2005
5,PCL:YV,65,4,2005
5,PCL-R,65,4,2005
5,Psychopathy Checklist,65,4,2005
5,reliability,65,4,2005
6,multidimensional differential item functioning,65,4,2005
6,gender differences,65,4,2005
6,physical self-concept,65,4,2005
6,item bias,65,4,2005
7,multivariate generalizability theory,65,4,2005
7,table of specifications,65,4,2005
8,Adult Manifest Anxiety Scale-College Version,65,4,2005
8,gender differences,65,4,2005
8,validity,65,4,2005
8,reliability,65,4,2005
9,measurement equivalence,65,4,2005
9,job descriptive index,65,4,2005
9,confirmatory factor analysis,65,4,2005
9,item response theory,65,4,2005
1,adverse impact,65,5,2005
1,selection,65,5,2005
1,test,65,5,2005
1,effect size,65,5,2005
2,reliability,65,5,2005
2,information function,65,5,2005
2,standard error of measurement,65,5,2005
2,Rasch,65,5,2005
2,item response theory,65,5,2005
2,classical test theory,65,5,2005
3,Crawford-Ferguson family,65,5,2005
3,geomin,65,5,2005
3,oblimin,65,5,2005
3,orthomax,65,5,2005
3,quartimin,65,5,2005
3,simplimax,65,5,2005
3,varimax,65,5,2005
4,factor analysis,65,5,2005
4,parallel analysis,65,5,2005
4,dichotomous variables,65,5,2005
4,number of factors,65,5,2005
4,unidimensionality,65,5,2005
5,SPSS,65,5,2005
5,multilevel modeling,65,5,2005
5,hierarchical linear modeling,65,5,2005
5,longitudinal analysis,65,5,2005
5,software application,65,5,2005
6,Beck Anxiety Inventory,65,5,2005
6,BAI,65,5,2005
6,reliability generalization,65,5,2005
6,RG,65,5,2005
7,emotional intelligence,65,5,2005
7,personality,65,5,2005
7,cognitive ability,65,5,2005
7,satisfaction,65,5,2005
8,Marlowe-Crowne Social Desirability Scale,65,5,2005
8,test translation,65,5,2005
8,differential item functioning,65,5,2005
8,Hispanics,65,5,2005
8,Puerto Ricans,65,5,2005
9,cynicism,65,5,2005
9,depersonalization,65,5,2005
9,burnout,65,5,2005
9,mental distance,65,5,2005
10,attitudes,65,5,2005
10,measurement,65,5,2005
10,professional development,65,5,2005
10,teachers,65,5,2005
10,validation,65,5,2005
2,differential item functioning,65,6,2005
2,psychometrics,65,6,2005
2,item analysis,65,6,2005
2,ordinal items,65,6,2005
2,item bias,65,6,2005
3,meta-analysis,65,6,2005
3,structural equation modeling,65,6,2005
3,cluster analysis,65,6,2005
3,moderator searching,65,6,2005
4,reliability coefficient,65,6,2005
4,confidence intervals,65,6,2005
4,Cronbach’s coefficient alpha,65,6,2005
4,Cohen Kappa,65,6,2005
4,reliability coefficient,65,6,2005
5,hassles,65,6,2005
5,Revised University Student Hassles Scale,65,6,2005
5,factor analyses,65,6,2005
5,psychometric evaluation,65,6,2005
6,reading,65,6,2005
6,phonics,65,6,2005
6,assessment,65,6,2005
6,structural analysis,65,6,2005
7,filial responsibility expectations,65,6,2005
7,older adults,65,6,2005
7,item scale,65,6,2005
7,methodology,65,6,2005
7,vignette technique,65,6,2005
8,motivation,65,6,2005
8,achievement,65,6,2005
8,invariance,65,6,2005
8,latent means,65,6,2005
1,longitudinal data,66,1,2006
1,repeated measures,66,1,2006
1,panel data,66,1,2006
1,item response theory,66,1,2006
1,generalized partial credit model,66,1,2006
1,multidimensional IRT models,66,1,2006
1,marginal maximum likelihood estimation,66,1,2006
2,multisample sphericity,66,1,2006
2,theoretical critical values,66,1,2006
2,bootstrap resampling,66,1,2006
2,sensitivity,66,1,2006
3,item response theory,66,1,2006
3,parameter invariance,66,1,2006
3,item parameter drift,66,1,2006
4,heteroscedasticity,66,1,2006
4,smoothers,66,1,2006
4,Theil-Sen estimator,66,1,2006
4,Winsorized correlations,66,1,2006
5,reliability,66,1,2006
5,validity,66,1,2006
5,gender differences,66,1,2006
5,Adult Manifest Anxiety Scale-Elderly Version,66,1,2006
6,attachment,66,1,2006
6,close relationships,66,1,2006
6,construct validity,66,1,2006
6,ECR-R,66,1,2006
7,Multidimensional Aptitude Battery,66,1,2006
7,factor structure,66,1,2006
7,bifactor model,66,1,2006
7,nested factor model,66,1,2006
8,working-memory,66,1,2006
8,relational complexity,66,1,2006
8,reasoning,66,1,2006
8,Rasch analysis,66,1,2006
8,Latin square,66,1,2006
9,teaching,66,1,2006
9,satisfaction,66,1,2006
9,scale,66,1,2006
9,job,66,1,2006
9,measuring,66,1,2006
1,dimensionality,66,2,2006
1,NOHARM,66,2,2006
1,TESTFACT,66,2,2006
1,Mplus,66,2,2006
2,reliability,66,2,2006
2,internal consistency,66,2,2006
2,averaging reliabilities,66,2,2006
2,alpha coefficients,66,2,2006
3,statistical power,66,2,2006
3,variable categorization,66,2,2006
3,OLS regression,66,2,2006
3,logistic regression,66,2,2006
3,probit regression,66,2,2006
4,discriminant analysis,66,2,2006
4,regression trees,66,2,2006
4,logistic regression,66,2,2006
4,classification,66,2,2006
5,monitoring accuracy,66,2,2006
5,metacognition,66,2,2006
5,calibration,66,2,2006
5,Monte Carlo,66,2,2006
6,Press-Shigemasu model,66,2,2006
6,structural equation modeling,66,2,2006
6,Choleskey decomposition,66,2,2006
6,likelihood,66,2,2006
6,prior,66,2,2006
6,posterior distribution,66,2,2006
6,correlation matrix,66,2,2006
7,reliability generalization,66,2,2006
7,RG,66,2,2006
7,self-description questionnaire,66,2,2006
7,SDQ,66,2,2006
7,reliability,66,2,2006
8,admissions testing,66,2,2006
8,differential predictive validity,66,2,2006
8,predictive validity,66,2,2006
8,validity,66,2,2006
9,Cross-Cultural Adaptability Inventory (CCAI),66,2,2006
9,dimensionality,66,2,2006
9,measurement,66,2,2006
9,factor analysis,66,2,2006
10,self-esteem,66,2,2006
10,reliability,66,2,2006
10,stability,66,2,2006
10,Self-Esteem Questionnaire,66,2,2006
11,goal orientation,66,2,2006
11,dispositional,66,2,2006
11,repeated measure,66,2,2006
11,confirmatory factor analysis (CFA),66,2,2006
1,publication bias,66,3,2006
1,detection,66,3,2006
1,meta-analysis,66,3,2006
1,effect size,66,3,2006
1,simulation,66,3,2006
2,rating scales,66,3,2006
2,extreme response,66,3,2006
2,validity,66,3,2006
2,translation and adaptation,66,3,2006
3,exploratory factor analysis (EFA),66,3,2006
3,factor retention,66,3,2006
3,meta-analysis,66,3,2006
3,confirmatory factor analysis (CFA),66,3,2006
4,consistency,66,3,2006
4,objective tests,66,3,2006
4,item test theory,66,3,2006
5,coefficient of multiple determination,66,3,2006
5,extra sum of squares,66,3,2006
5,partial F test,66,3,2006
5,suppressor variable,66,3,2006
5,variable selection,66,3,2006
6,LASSI,66,3,2006
6,factor analysis,66,3,2006
6,college students,66,3,2006
6,learning strategies,66,3,2006
7,creativity,66,3,2006
7,measurement invariance,66,3,2006
7,Torrance Tests of Creative Thinking,66,3,2006
7,latent structure,66,3,2006
7,factor analysis,66,3,2006
7,structural equation modeling,66,3,2006
7,dimensionality,66,3,2006
7,validity,66,3,2006
7,reliability,66,3,2006
8,dispositions,66,3,2006
8,teacher education,66,3,2006
8,assessment,66,3,2006
8,confirmatory factor analysis,66,3,2006
9,Gregorc Style Delineator,66,3,2006
9,learning styles,66,3,2006
9,confirmatory factor analysis,66,3,2006
9,validity,66,3,2006
10,mental health,66,3,2006
10,juvenile delinquent,66,3,2006
10,sex differences,66,3,2006
10,Rasch Model,66,3,2006
10,differential item functioning,66,3,2006
11,exploratory factor analysis,66,3,2006
11,confirmatory factor analysis,66,3,2006
11,academic stress,66,3,2006
11,Asian,66,3,2006
1,computerized adaptive mastery testing (CAMT),66,4,2006
